Litter ID,Species,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
K15CC1,Cetraria cucculata,Leaf,Pika camp,K,0.53,21/07/16,,,,,0,1,1,1
K15CC2,Cetraria cucculata,Leaf,Pika camp,K,0.509,21/07/16,,,,,0,1,1,1
K15CC3,Cetraria cucculata,Leaf,Pika camp,K,0.532,21/07/16,,,,,0,1,1,1
K15CC4,Cetraria cucculata,Leaf,Pika camp,K,0.518,21/07/16,,,,,0,1,1,1
K15CC5,Cetraria cucculata,Leaf,Pika camp,K,0.5,21/07/16,,,,,0,1,1,1
K15CC6,Cetraria cucculata,Leaf,Pika camp,K,0.538,21/07/16,,,,,0,1,1,1
K15CC7,Cetraria cucculata,Leaf,Pika camp,K,0.535,21/07/16,,,,,0,1,1,1
K15CC8,Cetraria cucculata,Leaf,Pika camp,K,0.51,21/07/16,,,,,0,1,1,1
K15CC9,Cetraria cucculata,Leaf,Pika camp,K,0.493,21/07/16,,,,,0,1,1,1
K15CC10,Cetraria cucculata,Leaf,Pika camp,K,0.51,21/07/16,,,,,0,1,1,1
K15CC11,Cetraria cucculata,Leaf,Pika camp,K,0.52,21/07/16,12/07/16,4.647,0.323,4.289,0.358,0.38,0.31,0.35
K15CC12,Cetraria cucculata,Leaf,Pika camp,K,0.498,21/07/16,12/07/16,4.397,0.321,4.048,0.349,0.36,0.3,0.33
K15CC13,Cetraria cucculata,Leaf,Pika camp,K,0.497,21/07/16,12/07/16,4.393,0.262,4.096,0.297,0.47,0.4,0.44
K15CC14,Cetraria cucculata,Leaf,Pika camp,K,0.512,21/07/16,12/07/16,4.533,0.261,4.251,0.282,0.49,0.45,0.47
K15CC15,Cetraria cucculata,Leaf,Pika camp,K,0.502,21/07/16,12/07/16,4.714,0.333,4.34,0.374,0.34,0.25,0.3
K15CC16,Cetraria cucculata,Leaf,Pika camp,K,0.52,21/07/16,12/07/16,4.667,0.368,4.273,0.394,0.29,0.24,0.27
K15CC17,Cetraria cucculata,Leaf,Pika camp,K,0.5,21/07/16,12/07/16,4.654,0.341,4.306,0.348,0.32,0.3,0.31
K15CC18,Cetraria cucculata,Leaf,Pika camp,K,0.518,21/07/16,12/07/16,4.479,0.186,4.28,0.199,0.64,0.62,0.63
K15CC19,Cetraria cucculata,Leaf,Pika camp,K,0.497,21/07/16,12/07/16,4.303,0.209,4.083,0.22,0.58,0.56,0.57
K15CC20,Cetraria cucculata,Leaf,Pika camp,K,0.524,21/07/16,12/07/16,4.709,0.28,4.415,0.294,0.47,0.44,0.45
K15SG(l)1,Salix glauca,Leaf,Printers pass,K,0.507,21/07/16,,,,,0,1,1,1
K15SG(l)2,Salix glauca,Leaf,Printers pass,K,0.501,21/07/16,,,,,0,1,1,1
K15SG(l)3,Salix glauca,Leaf,Printers pass,K,0.501,21/07/16,,,,,0,1,1,1
K15SG(l)4,Salix glauca,Leaf,Printers pass,K,0.51,21/07/16,,,,,0,1,1,1
K15SG(l)5,Salix glauca,Leaf,Printers pass,K,0.504,21/07/16,,,,,0,1,1,1
K15SG(l)6,Salix glauca,Leaf,Printers pass,K,0.502,21/07/16,,,,,0,1,1,1
K15SG(l)7,Salix glauca,Leaf,Printers pass,K,0.515,21/07/16,,,,,0,1,1,1
K15SG(l)8,Salix glauca,Leaf,Printers pass,K,0.505,21/07/16,,,,,0,1,1,1
K15SG(l)9,Salix glauca,Leaf,Printers pass,K,0.496,21/07/16,,,,,0,1,1,1
K15SG(l)10,Salix glauca,Leaf,Printers pass,K,0.497,21/07/16,,,,,0,1,1,1
K15SG(l)11,Salix glauca,Leaf,Printers pass,K,0.508,21/07/16,12/07/16,4.7,0.349,4.331,0.369,0.31,0.27,0.29
K15SG(l)12,Salix glauca,Leaf,Printers pass,K,0.51,21/07/16,12/07/16,4.855,0.318,4.498,0.357,0.38,0.3,0.34
K15SG(l)13,Salix glauca,Leaf,Printers pass,K,0.514,21/07/16,12/07/16,4.789,0.336,4.434,0.355,0.35,0.31,0.33
K15SG(l)14,Salix glauca,Leaf,Printers pass,K,0.497,21/07/16,12/07/16,4.582,0.325,4.245,0.337,0.35,0.32,0.33
K15SG(l)15,Salix glauca,Leaf,Printers pass,K,0.528,21/07/16,12/07/16,4.726,0.316,4.382,0.344,0.4,0.35,0.38
K15SG(l)16,Salix glauca,Leaf,Printers pass,K,0.496,21/07/16,12/07/16,4.711,0.292,4.39,0.321,0.41,0.35,0.38
K15SG(l)17,Salix glauca,Leaf,Printers pass,K,0.523,21/07/16,12/07/16,4.357,0.233,4.083,0.274,0.55,0.48,0.52
K15SG(l)18,Salix glauca,Leaf,Printers pass,K,0.493,21/07/16,12/07/16,4.532,0.262,4.252,0.28,0.47,0.43,0.45
K15SG(l)19,Salix glauca,Leaf,Printers pass,K,0.496,21/07/16,12/07/16,4.597,0.315,4.246,0.351,0.36,0.29,0.33
K15SG(l)20,Salix glauca,Leaf,Printers pass,K,0.502,21/07/16,12/07/16,4.493,0.313,4.133,0.36,0.38,0.28,0.33
K15PV(f)1,Pedicularis verticillata ,Flower,Pika camp,K,0.51,21/07/16,,,,,0,1,1,1
K15PV(f)2,Pedicularis verticillata ,Flower,Pika camp,K,0.544,21/07/16,,,,,0,1,1,1
K15PV(f)3,Pedicularis verticillata ,Flower,Pika camp,K,0.531,21/07/16,,,,,0,1,1,1
K15PV(f)4,Pedicularis verticillata ,Flower,Pika camp,K,0.49,21/07/16,,,,,0,1,1,1
K15PV(f)5,Pedicularis verticillata ,Flower,Pika camp,K,0.517,21/07/16,,,,,0,1,1,1
K15PV(f)6,Pedicularis verticillata ,Flower,Pika camp,K,0.539,21/07/16,,,,,0,1,1,1
K15PV(f)7,Pedicularis verticillata ,Flower,Pika camp,K,0.534,21/07/16,,,,,0,1,1,1
K15PV(f)8,Pedicularis verticillata ,Flower,Pika camp,K,0.535,21/07/16,,,,,0,1,1,1
K15PV(f)9,Pedicularis verticillata ,Flower,Pika camp,K,0.516,21/07/16,,,,,0,1,1,1
K15PV(f)10,Pedicularis verticillata ,Flower,Pika camp,K,0.504,21/07/16,,,,,0,1,1,1
K15PV(f)11,Pedicularis verticillata ,Flower,Pika camp,K,0.55,21/07/16,12/07/16,4.449,0.202,4.22,0.229,0.63,0.58,0.61
K15PV(f)12,Pedicularis verticillata ,Flower,Pika camp,K,0.502,21/07/16,12/07/16,4.581,0.163,4.381,0.2,0.68,0.6,0.64
K15PV(f)13,Pedicularis verticillata ,Flower,Pika camp,K,0.502,21/07/16,12/07/16,4.719,0.203,4.488,0.231,0.6,0.54,0.57
K15PV(f)14,Pedicularis verticillata ,Flower,Pika camp,K,0.475,21/07/16,12/07/16,4.486,0.189,4.279,0.207,0.6,0.56,0.58
K15PV(f)15,Pedicularis verticillata ,Flower,Pika camp,K,0.489,21/07/16,12/07/16,4.571,0.218,4.335,0.236,0.55,0.52,0.54
