Litter ID,Species,Replicate,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
K15CC1,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.53,21/08/15,08/08/17,4.526,0.209,4.298,0.228,61%,57%,0.59
K15CC2,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.509,21/08/15,08/08/17,4.415,0.163,4.266,0.149,68%,71%,0.69
K15CC3,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.532,21/08/15,08/08/17,4.419,0.175,4.237,0.182,67%,66%,0.66
K15CC4,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.518,21/08/15,08/08/17,4.565,0.172,4.378,0.187,67%,64%,0.65
K15CC5,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.5,21/08/15,08/08/17,4.476,0.205,4.263,0.213,59%,57%,0.58
K15CC6,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.538,21/08/15,08/08/17,4.598,0.267,4.317,0.281,50%,48%,0.49
K15CC7,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.535,21/08/15,08/08/17,4.383,0.173,4.204,0.179,68%,67%,0.67
K15CC8,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.51,21/08/15,08/08/17,4.469,0.207,4.267,0.202,59%,60%,0.6
K15CC9,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.493,21/08/15,08/08/17,4.149,0.136,4.014,0.135,72%,73%,0.73
K15CC10,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.51,21/08/15,08/08/17,4.262,0.154,4.097,0.165,70%,68%,0.69
K15CC11,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.52,21/08/15,12/08/16,4.647,0.323,4.289,0.358,0.38,0.31,0.35
K15CC12,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.498,21/08/15,12/08/16,4.397,0.321,4.048,0.349,0.36,0.3,0.33
K15CC13,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.497,21/08/15,12/08/16,4.393,0.262,4.096,0.297,0.47,0.4,0.44
K15CC14,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.512,21/08/15,12/08/16,4.533,0.261,4.251,0.282,0.49,0.45,0.47
K15CC15,Cetraria cucculata,1,Leaf,Pika camp,Pika camp,0.502,21/08/15,12/08/16,4.714,0.333,4.34,0.374,0.34,0.25,0.3
K15CC16,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.52,21/08/15,12/08/16,4.667,0.368,4.273,0.394,0.29,0.24,0.27
K15CC17,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.5,21/08/15,12/08/16,4.654,0.341,4.306,0.348,0.32,0.3,0.31
K15CC18,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.518,21/08/15,12/08/16,4.479,0.186,4.28,0.199,0.64,0.62,0.63
K15CC19,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.497,21/08/15,12/08/16,4.303,0.209,4.083,0.22,0.58,0.56,0.57
K15CC20,Cetraria cucculata,2,Leaf,Pika camp,Pika camp,0.524,21/08/15,12/08/16,4.709,0.28,4.415,0.294,0.47,0.44,0.45
K15SG(l)1,Salix glauca,1,Leaf,Printers pass,Pika camp,0.507,21/08/15,08/08/17,4.654,0.3,4.342,0.312,41%,38%,0.4
K15SG(l)2,Salix glauca,1,Leaf,Printers pass,Pika camp,0.501,21/08/15,08/08/17,4.749,0.285,4.453,0.296,43%,41%,0.42
K15SG(l)3,Salix glauca,1,Leaf,Printers pass,Pika camp,0.501,21/08/15,08/08/17,4.51,0.302,4.202,0.308,40%,39%,0.39
K15SG(l)4,Salix glauca,1,Leaf,Printers pass,Pika camp,0.51,21/08/15,08/08/17,4.571,0.328,4.228,0.343,36%,33%,0.34
K15SG(l)5,Salix glauca,1,Leaf,Printers pass,Pika camp,0.504,21/08/15,08/08/17,4.622,0.405,4.214,0.408,20%,19%,0.19
K15SG(l)6,Salix glauca,2,Leaf,Printers pass,Pika camp,0.502,21/08/15,08/08/17,4.749,0.268,4.441,0.308,47%,39%,0.43
K15SG(l)7,Salix glauca,2,Leaf,Printers pass,Pika camp,0.515,21/08/15,08/08/17,4.632,0.302,4.321,0.311,41%,40%,0.4
K15SG(l)8,Salix glauca,2,Leaf,Printers pass,Pika camp,0.505,21/08/15,08/08/17,4.632,0.293,4.318,0.314,42%,38%,0.4
K15SG(l)9,Salix glauca,2,Leaf,Printers pass,Pika camp,0.496,21/08/15,08/08/17,4.434,0.281,4.145,0.289,43%,42%,0.43
K15SG(l)10,Salix glauca,2,Leaf,Printers pass,Pika camp,0.497,21/08/15,08/08/17,4.475,0.26,4.21,0.265,48%,47%,0.47
K15SG(l)11,Salix glauca,1,Leaf,Printers pass,Pika camp,0.508,21/08/15,12/08/16,4.7,0.349,4.331,0.369,0.31,0.27,0.29
K15SG(l)12,Salix glauca,1,Leaf,Printers pass,Pika camp,0.51,21/08/15,12/08/16,4.855,0.318,4.498,0.357,0.38,0.3,0.34
K15SG(l)13,Salix glauca,1,Leaf,Printers pass,Pika camp,0.514,21/08/15,12/08/16,4.789,0.336,4.434,0.355,0.35,0.31,0.33
K15SG(l)14,Salix glauca,1,Leaf,Printers pass,Pika camp,0.497,21/08/15,12/08/16,4.582,0.325,4.245,0.337,0.35,0.32,0.33
K15SG(l)15,Salix glauca,1,Leaf,Printers pass,Pika camp,0.528,21/08/15,12/08/16,4.726,0.316,4.382,0.344,0.4,0.35,0.38
K15SG(l)16,Salix glauca,2,Leaf,Printers pass,Pika camp,0.496,21/08/15,12/08/16,4.711,0.292,4.39,0.321,0.41,0.35,0.38
K15SG(l)17,Salix glauca,2,Leaf,Printers pass,Pika camp,0.523,21/08/15,12/08/16,4.357,0.233,4.083,0.274,0.55,0.48,0.52
K15SG(l)18,Salix glauca,2,Leaf,Printers pass,Pika camp,0.493,21/08/15,12/08/16,4.532,0.262,4.252,0.28,0.47,0.43,0.45
K15SG(l)19,Salix glauca,2,Leaf,Printers pass,Pika camp,0.496,21/08/15,12/08/16,4.597,0.315,4.246,0.351,0.36,0.29,0.33
K15SG(l)20,Salix glauca,2,Leaf,Printers pass,Pika camp,0.502,21/08/15,12/08/16,4.493,0.313,4.133,0.36,0.38,0.28,0.33
K15PV(f)1,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.51,21/08/15,08/08/17,4.066,0.185,3.855,0.211,64%,59%,0.61
K15PV(f)2,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.544,21/08/15,08/08/17,4.295,0.195,4.063,0.232,64%,57%,0.61
K15PV(f)3,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.531,21/08/15,08/08/17,4.535,0.196,4.326,0.209,63%,61%,0.62
K15PV(f)4,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.49,21/08/15,08/08/17,4.294,0.197,4.086,0.208,60%,58%,0.59
K15PV(f)5,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.517,21/08/15,08/08/17,4.372,0.18,4.187,0.185,65%,64%,0.65
K15PV(f)6,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.539,21/08/15,08/08/17,4.693,0.184,4.498,0.195,66%,64%,0.65
K15PV(f)7,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.534,21/08/15,08/08/17,4.14,0.167,3.965,0.175,69%,67%,0.68
K15PV(f)8,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.535,21/08/15,08/08/17,4.199,0.181,3.997,0.202,66%,62%,0.64
K15PV(f)9,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.516,21/08/15,08/08/17,4.286,0.127,4.154,0.132,75%,74%,0.75
K15PV(f)10,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.504,21/08/15,08/08/17,4.283,0.127,4.149,0.134,75%,73%,0.74
K15PV(f)11,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.55,21/08/15,12/08/16,4.449,0.202,4.22,0.229,0.63,0.58,0.61
K15PV(f)12,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.502,21/08/15,12/08/16,4.581,0.163,4.381,0.2,0.68,0.6,0.64
K15PV(f)13,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.502,21/08/15,12/08/16,4.719,0.203,4.488,0.231,0.6,0.54,0.57
K15PV(f)14,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.475,21/08/15,12/08/16,4.486,0.189,4.279,0.207,0.6,0.56,0.58
K15PV(f)15,Pedicullaris vertillus,1,Flower,Pika camp,Pika camp,0.489,21/08/15,12/08/16,4.571,0.218,4.335,0.236,0.55,0.52,0.54
K15PV(f)16,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.435,21/08/15,12/08/16,4.284,0.183,4.102,0.182,0.58,0.58,0.58
K15PV(f)17,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.54,21/08/15,12/08/16,4.528,0.242,4.263,0.265,0.55,0.51,0.53
K15PV(f)18,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.543,21/08/15,12/08/16,4.431,0.152,4.269,0.162,0.72,0.7,0.71
K15PV(f)19,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.493,21/08/15,12/08/16,4.189,0.09,4.081,0.108,0.82,0.78,0.8
K15PV(f)20,Pedicullaris vertillus,2,Flower,Pika camp,Pika camp,0.497,21/08/15,12/08/16,4.305,0.146,4.135,0.17,0.71,0.66,0.68
K15SG(s)1,Salix glauca,1,Stem,Printers pass,Pika camp,0.522,21/08/15,08/08/17,3.244,0.385,2.851,0.393,26%,25%,0.25
K15SG(s)2,Salix glauca,1,Stem,Printers pass,Pika camp,0.539,21/08/15,08/08/17,3.235,0.375,2.856,0.379,30%,30%,0.3
K15SG(s)3,Salix glauca,1,Stem,Printers pass,Pika camp,0.499,21/08/15,08/08/17,2.948,0.32,2.619,0.329,36%,34%,0.35
K15SG(s)4,Salix glauca,1,Stem,Printers pass,Pika camp,0.537,21/08/15,08/08/17,3.048,0.331,2.712,0.336,38%,37%,0.38
K15SG(s)5,Salix glauca,1,Stem,Printers pass,Pika camp,0.485,21/08/15,08/08/17,2.991,0.289,2.699,0.292,40%,40%,0.4
K15SG(s)6,Salix glauca,2,Stem,Printers pass,Pika camp,0.502,21/08/15,08/08/17,3.075,0.345,2.728,0.347,31%,31%,0.31
K15SG(s)7,Salix glauca,2,Stem,Printers pass,Pika camp,0.506,21/08/15,08/08/17,3.272,0.343,2.925,0.347,32%,31%,0.32
K15SG(s)8,Salix glauca,2,Stem,Printers pass,Pika camp,0.52,21/08/15,08/08/17,2.751,0.335,2.413,0.338,36%,35%,0.35
K15SG(s)9,Salix glauca,2,Stem,Printers pass,Pika camp,0.502,21/08/15,08/08/17,3.012,0.348,2.661,0.351,31%,30%,0.3
K15SG(s)10,Salix glauca,2,Stem,Printers pass,Pika camp,0.486,21/08/15,08/08/17,2.946,0.365,2.578,0.368,25%,24%,0.25
K15SG(s)11,Salix glauca,1,Stem,Printers pass,Pika camp,0.46,21/08/15,12/08/16,2.944,0.363,2.555,0.389,0.21,0.15,0.18
K15SG(s)12,Salix glauca,1,Stem,Printers pass,Pika camp,0.54,21/08/15,12/08/16,2.895,0.428,2.455,0.44,0.21,0.19,0.2
K15SG(s)13,Salix glauca,1,Stem,Printers pass,Pika camp,0.47,21/08/15,12/08/16,2.768,0.365,2.397,0.371,0.22,0.21,0.22
K15SG(s)14,Salix glauca,1,Stem,Printers pass,Pika camp,0.48,21/08/15,12/08/16,3.079,0.388,2.676,0.403,0.19,0.16,0.18
K15SG(s)15,Salix glauca,1,Stem,Printers pass,Pika camp,0.526,21/08/15,12/08/16,2.707,0.425,2.281,0.426,0.19,0.19,0.19
K15SG(s)16,Salix glauca,2,Stem,Printers pass,Pika camp,0.487,21/08/15,12/08/16,2.748,0.373,2.381,0.367,0.23,0.25,0.24
K15SG(s)17,Salix glauca,2,Stem,Printers pass,Pika camp,0.544,21/08/15,12/08/16,2.825,0.472,2.346,0.479,0.13,0.12,0.13
K15SG(s)18,Salix glauca,2,Stem,Printers pass,Pika camp,0.529,21/08/15,12/08/16,2.762,0.364,2.355,0.407,0.31,0.23,0.27
