,ESA_cell_season,Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil.moisture,Additional.information,latlon,Loss_Day,Plot_unique,TBI_S,TBI_k,soiltemp_mean,soiltemp_GDD5,soiltemp_source,airtemp_mean,airtemp_GDD5,airtemp_source,moisture_mean,moisture_mean_source,CHELSA_year_temp,CHELSA_summer_temp,CHELSA_winter_temp,CHELSA_year_precip,CHELSA_summer_precip,CHELSA_winter_precip,ESA_moisture,ESA_moisture_winter,ESA_moisture_year,ESA_cell,is.region,is.site,is.plot,is.site.plot,airtemp_mean_var_level,soiltemp_mean_var_level,moisture_mean_var_level,CHELSA_summer_temp_var_level,CHELSA_summer_precip_var_level,ESA_moisture_var_level
1,116805_Summer,S44,Green,QHI,QHI Site 4,QHI_4,69.57754,-138.91147,53,1.9912,8,11-07-16,12-08-16,32,Summer,1.225,Yes,1.676,0.976309356,0.417476518,None,"Haydn Thomas, Isla Myers-Smith",28.3,,69.57754_-138.91147,0.013046141,QHI_4_Summer,0.551815722,0.021027894,5.217424731,104.7504167,HOBO,8.545408602,237.9487083,HOBO,28.4,Moisture Probe,-9.4,7.6,-24.3,16.4,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
2,116805_Summer,S41,Green,QHI,QHI Site 4,QHI_4,69.57754,-138.91147,53,2.1734,8,11-07-16,12-08-16,32,Summer,1.293,Yes,1.852,1.044309356,0.436118058,None,"Haydn Thomas, Isla Myers-Smith",29.9,,69.57754_-138.91147,0.013628689,QHI_4_Summer,0.551815722,0.021027894,5.217424731,104.7504167,HOBO,8.545408602,237.9487083,HOBO,28.4,Moisture Probe,-9.4,7.6,-24.3,16.4,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
3,116805_Summer,S42,Green,QHI,QHI Site 4,QHI_4,69.57754,-138.91147,53,1.8735,8,11-07-16,12-08-16,32,Summer,1.425,Yes,1.563,1.176309356,0.247402843,None,"Haydn Thomas, Isla Myers-Smith",27.5,,69.57754_-138.91147,0.007731339,QHI_4_Summer,0.551815722,0.021027894,5.217424731,104.7504167,HOBO,8.545408602,237.9487083,HOBO,28.4,Moisture Probe,-9.4,7.6,-24.3,16.4,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
4,116805_Summer,S43,Green,QHI,QHI Site 4,QHI_4,69.57754,-138.91147,53,2.1792,8,11-07-16,12-08-16,32,Summer,1.328,Yes,1.857,1.079309356,0.418788715,None,"Haydn Thomas, Isla Myers-Smith",21.9,,69.57754_-138.91147,0.013087147,QHI_4_Summer,0.551815722,0.021027894,5.217424731,104.7504167,HOBO,8.545408602,237.9487083,HOBO,28.4,Moisture Probe,-9.4,7.6,-24.3,16.4,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
5,116805_Summer,S39,Green,QHI,QHI Site 3,QHI_3,69.57638,-138.90722,43,1.933,8,11-07-16,12-08-16,32,Summer,1.228,Yes,1.62,0.979309356,0.395488052,None,"Haydn Thomas, Isla Myers-Smith",45.4,,69.57638_-138.90722,0.012359002,QHI_3_Summer,0.525419924,0.023864052,5.217424731,104.7504167,HOBO,8.595408602,237.9487083,HOBO,41.3,Moisture Probe,-9.4,7.6,-24.3,16.4,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
6,116805_Summer,S40,Green,QHI,QHI Site 3,QHI_3,69.57638,-138.90722,43,2.1126,8,11-07-16,12-08-16,32,Summer,1.334,Yes,1.793,1.085309356,0.394696399,None,"Haydn Thomas, Isla Myers-Smith",42.8,,69.57638_-138.90722,0.012334262,QHI_3_Summer,0.525419924,0.023864052,5.217424731,104.7504167,HOBO,8.595408602,237.9487083,HOBO,41.3,Moisture Probe,-9.4,7.6,-24.3,16.4,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
7,116805_Summer,S27,Green,QHI,QHI Site 1,QHI_1,69.57467,-138.89764,4,2.1716,8,11-07-16,12-08-16,32,Summer,1.384,Yes,1.85,1.135309356,0.386319267,None,"Haydn Thomas, Isla Myers-Smith",57.6,,69.57467_-138.89764,0.012072477,QHI_1_Summer,0.521973848,0.03973918,5.217424731,104.7504167,HOBO,8.790408602,237.9487083,HOBO,56.18,Moisture Probe,-9.4,7.6,-24.3,16.5,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
8,116805_Summer,S28,Green,QHI,QHI Site 1,QHI_1,69.57467,-138.89764,4,2.0441,8,11-07-16,12-08-16,32,Summer,1.222,Yes,1.727,0.973309356,0.436416123,None,"Haydn Thomas, Isla Myers-Smith",55.7,,69.57467_-138.89764,0.013638004,QHI_1_Summer,0.521973848,0.03973918,5.217424731,104.7504167,HOBO,8.790408602,237.9487083,HOBO,56.18,Moisture Probe,-9.4,7.6,-24.3,16.5,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
9,116805_Summer,S29,Green,QHI,QHI Site 1,QHI_1,69.57467,-138.89764,4,2.1457,8,11-07-16,12-08-16,32,Summer,1.36,Yes,1.825,1.111309356,0.391063367,None,"Haydn Thomas, Isla Myers-Smith",56.9,,69.57467_-138.89764,0.01222073,QHI_1_Summer,0.521973848,0.03973918,5.217424731,104.7504167,HOBO,8.790408602,237.9487083,HOBO,56.18,Moisture Probe,-9.4,7.6,-24.3,16.5,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
10,116805_Summer,S30,Green,QHI,QHI Site 1,QHI_1,69.57467,-138.89764,4,2.0376,8,11-07-16,12-08-16,32,Summer,1.314,Yes,1.721,1.065309356,0.380993983,None,"Haydn Thomas, Isla Myers-Smith",61.4,,69.57467_-138.89764,0.011906062,QHI_1_Summer,0.521973848,0.03973918,5.217424731,104.7504167,HOBO,8.790408602,237.9487083,HOBO,56.18,Moisture Probe,-9.4,7.6,-24.3,16.5,10,1.5,NA,NA,NA,116805,0,0,0,1,Site,Region,Site,Region,Region,Region
