Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
Hvg1,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.10,8,24/07/2015,23/07/2016,365,Year,1.129,No,1.781,1.00584,0.44,None,Haydn Thomas,,
Hvg2,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.10,8,24/07/2015,23/07/2016,365,Year,1.012,No,1.781,0.88884,0.50,None,Haydn Thomas,,
Hvg3,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.02,8,24/07/2015,23/07/2016,365,Year,1.087,No,1.704,0.96384,0.43,None,Haydn Thomas,,
Hvg4,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.15,8,24/07/2015,23/07/2016,365,Year,1.182,No,1.829,1.05884,0.42,None,Haydn Thomas,,
Hvg5,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.13,8,24/07/2015,23/07/2016,365,Year,1.109,No,1.810,0.98584,0.46,None,Haydn Thomas,,
Hvg6,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.07,8,24/07/2015,23/07/2016,365,Year,1.130,No,1.752,1.00684,0.43,None,Haydn Thomas,,
Hvg7,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.07,8,24/07/2015,23/07/2016,365,Year,1.235,No,1.752,1.11184,0.37,None,Haydn Thomas,,
Hvg8,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.08,8,24/07/2015,23/07/2016,365,Year,1.135,No,1.762,1.01184,0.43,None,Haydn Thomas,,
Hvg9,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.02,8,24/07/2015,23/07/2016,365,Year,1.159,No,1.704,1.03584,0.39,None,Haydn Thomas,,
Hvg10,Green,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.06,8,24/07/2015,23/07/2016,365,Year,1.117,No,1.743,0.99384,0.43,None,Haydn Thomas,,
Hvr1,Rooibos,QHI,Herschel valley,HV_HT_1yr,69.5764,-138.90054,10,2.23,8,24/07/2015,23/07/2016,365,Year,1.744,No,1.870,1.62046,0.13,None,Haydn Thomas,,
